0,Almond Milk Tea,7.36,3.58
1,Banana Milk Tea,7.77,4.81
2,Barley Chocolate Milk Tea,6.79,4.37
3,Barley Milk Tea,7.86,3.39
4,Cappuccino,3.29,3.02
5,Chocolate Milk Tea,3.22,2.57
6,Coconut Milk Tea,5.16,4.51
7,Coffee Jelly with Milk Tea,4.7,4.83
8,Coffee Milk Tea,3.55,2.54
9,Ginger Milk Tea,6.98,4.0
10,Honey Milk Green Tea,7.41,3.0
11,Honey Milk Tea,7.86,3.69
12,Honeydew Milk Tea,6.68,4.22
13,Iced Coffee,3.3,2.37
14,Jasmine Milk Tea,4.53,3.47
15,Lavender Milk Tea,4.17,3.83
16,Lychee Jelly Milk Tea,3.33,4.59
17,Mocha Cappuccino,7.85,3.67
18,Pudding Milk Tea,6.48,2.1
19,Sesame Milk Tea,7.18,2.79
20,Strawberry Milk Tea,6.84,2.18
21,Taro Milk Tea,6.19,4.41
22,Thai Iced Tea,7.26,2.8
23,Japanese Genmai Green Tea,7.15,4.75
24,Blueberry Slush,6.43,3.15
25,Cappuccino Slush,3.01,3.84
26,Chocolate Slush,5.09,4.01
27,Coffee Slush,6.65,2.33
28,Dark Plum Slush,3.99,4.19
29,Green Apple Slush,7.26,3.63
30,Green Bean Milk Slush,5.74,4.35
31,Green Bean Slush,6.51,2.55
32,Green Mango Slush,3.41,3.51
33,Honey Green Milk Tea Slush,4.66,3.76
34,Honey Milk Tea Slush,4.19,4.42
35,Honeydew Slush,7.19,3.85
36,Kiwi Slush,7.61,4.08
37,Lemon Slush,3.82,3.4
38,Lychee Slush,5.6,2.35
39,Mango Slush,6.15,2.22
40,Mint Chocolate Slush,4.08,3.03
41,Mocha Cappuccino Slush,6.19,4.96
42,Mo-cha Green Tea Slush,5.25,2.02
43,Orange Slush,6.51,4.78
44,Passion Fruit Slush,4.58,4.08
45,Peach Slush,3.46,2.55
46,Pina Colada Slush,7.38,3.24
47,Red Bean Milk Slush,3.16,3.54
48,Red Bean Slush,4.72,3.12
49,Royal Milk Tea Slush,5.57,4.6
50,Sour Plum Slush,3.43,3.47
51,Strawberry Slush,6.42,2.85
52,Taro Slush,6.36,2.89
53,Thai Iced Tea Slush,7.92,2.04
54,Two Flavor Slush,7.94,4.45
55,Yogurt Slush,3.62,3.12
56,Black Tea,4.58,2.62
57,Coconut Pineapple Tea,7.47,3.94
58,Coffee,5.04,2.09
59,Fruit Magic Tea,4.59,4.14
60,Ginger Longan Tea,4.45,2.39
61,Ginger Tea,6.88,4.98
62,Grass Jelly,6.05,4.4
63,Green Tea,3.41,4.91
64,Hawaiian Fruit Tea,6.2,2.62
65,Honey Green Milk Tea,5.64,3.98
66,Honey Lemon Tea,5.09,4.12
67,Jack Fruit Tea,6.17,4.23
68,Longan Tea,5.77,4.76
69,Magic Fruit Tea,5.23,3.87
70,Rose Herbal Tea,5.01,2.4
71,Almond Snow,3.17,2.53
72,Apple Snow,7.95,2.96
73,Banana Snow,5.81,4.13
74,Champagne Grape Snow,5.79,2.85
75,Chocolate Snow,3.7,3.79
76,Grape Snow,6.37,3.58
77,Green Apple Snow,3.29,4.01
78,Lemon Snow,3.45,3.38
79,Mango Snow,5.08,4.89
80,Orange Snow,5.08,3.55
81,Passion Fruit Snow,7.11,2.08
82,Peach Snow,4.37,3.98
83,Peppermint Snow,4.24,4.8
84,Plum Snow,6.9,4.54
85,Sour Plum Snow,6.86,4.62
86,Strawberry Snow,5.57,3.74
87,Strawberry Yogurt Snow,7.62,2.92
88,Tangerine Snow,7.96,3.9
89,Two Flavor Snow,4.48,3.2
90,Vanilla Snow,6.4,4.97
91,Boba Milk Tea,4.44,3.1
92,Almond Milk Tea,5.96,2.25
93,Banana Milk Tea,7.48,4.75
94,Barley Chocolate Milk Tea,3.55,2.95
95,Barley Milk Tea,3.94,2.48
96,Cappuccino,5.36,3.5
97,Chocolate Milk Tea,5.07,2.65
98,Coconut Milk Tea,7.58,4.01
99,Coffee Jelly with Milk Tea,7.65,2.06
100,Coffee Milk Tea,4.63,2.17
101,Ginger Milk Tea,5.2,3.06
102,Honey Milk Green Tea,7.64,2.93
103,Honey Milk Tea,3.42,2.35
104,Honeydew Milk Tea,4.49,3.64
105,Iced Coffee,7.98,2.84
106,Jasmine Milk Tea,3.87,4.89
107,Lavender Milk Tea,5.69,3.98
108,Lychee Jelly Milk Tea,6.7,4.76
109,Mocha Cappuccino,3.09,4.46
110,Pudding Milk Tea,3.91,3.12
111,Sesame Milk Tea,6.59,4.55
112,Strawberry Milk Tea,4.98,4.57
113,Taro Milk Tea,4.81,2.76
114,Thai Iced Tea,4.84,4.0
115,Japanese Genmai Green Tea,5.96,4.04
116,Blueberry Slush,5.3,3.91
117,Cappuccino Slush,5.29,2.88
118,Chocolate Slush,6.75,4.85
119,Coffee Slush,6.15,2.08
120,Dark Plum Slush,6.28,4.83
121,Green Apple Slush,4.44,2.25
122,Green Bean Milk Slush,7.48,3.62
123,Green Bean Slush,6.57,2.97
124,Green Mango Slush,6.59,2.3
125,Honey Green Milk Tea Slush,5.23,2.77
126,Honey Milk Tea Slush,7.21,4.55
127,Honeydew Slush,7.64,2.14
128,Kiwi Slush,4.57,2.65
129,Lemon Slush,7.64,4.22
130,Lychee Slush,7.38,4.71
131,Mango Slush,4.28,3.75
132,Mint Chocolate Slush,3.51,3.94
133,Mocha Cappuccino Slush,5.46,2.93
134,Mo-cha Green Tea Slush,3.59,4.67
135,Orange Slush,5.56,2.45
136,Passion Fruit Slush,6.02,3.49
137,Peach Slush,7.5,4.62
138,Pina Colada Slush,5.63,3.91
139,Red Bean Milk Slush,7.78,2.5
140,Red Bean Slush,7.75,4.29
141,Royal Milk Tea Slush,5.36,4.24
142,Sour Plum Slush,7.6,4.65
143,Strawberry Slush,5.21,2.86
144,Taro Slush,5.23,4.71
145,Thai Iced Tea Slush,6.38,3.83
146,Two Flavor Slush,6.27,3.27
147,Yogurt Slush,4.91,4.39
148,Black Tea,6.35,3.84
149,Coconut Pineapple Tea,5.07,4.79
150,Coffee,6.33,3.54
151,Fruit Magic Tea,5.81,3.51
152,Ginger Longan Tea,5.5,4.04
153,Ginger Tea,4.92,3.22
154,Grass Jelly,5.22,3.07
155,Green Tea,6.78,4.85
156,Hawaiian Fruit Tea,6.69,3.11
157,Honey Green Milk Tea,3.16,2.11
158,Honey Lemon Tea,3.61,2.15
159,Jack Fruit Tea,4.32,4.67
160,Longan Tea,4.15,2.59
161,Magic Fruit Tea,6.3,4.48
162,Rose Herbal Tea,4.33,3.02
163,Almond Snow,4.34,3.73
164,Apple Snow,7.6,2.57
165,Banana Snow,7.94,4.24
166,Champagne Grape Snow,3.66,3.14
167,Chocolate Snow,7.15,3.35
168,Grape Snow,6.95,2.27
169,Green Apple Snow,4.93,4.71
170,Lemon Snow,7.18,3.72
171,Mango Snow,3.16,4.74
172,Orange Snow,4.82,2.93
173,Passion Fruit Snow,5.05,4.49
174,Peach Snow,6.91,4.86
175,Peppermint Snow,5.12,2.12
176,Plum Snow,3.25,3.08
177,Sour Plum Snow,5.15,2.43
178,Strawberry Snow,3.31,4.72
179,Strawberry Yogurt Snow,7.79,2.84
180,Tangerine Snow,3.57,3.34
181,Two Flavor Snow,5.82,2.17
182,Vanilla Snow,6.03,2.9
183,Boba Milk Tea,4.01,3.93
184,Almond Milk Tea,4.79,2.22
185,Banana Milk Tea,7.65,4.42
186,Barley Chocolate Milk Tea,7.95,2.76
187,Barley Milk Tea,7.41,4.58
188,Cappuccino,6.83,2.92
189,Chocolate Milk Tea,6.73,3.09
190,Coconut Milk Tea,7.91,3.35
191,Coffee Jelly with Milk Tea,6.89,4.43
192,Coffee Milk Tea,4.81,2.78
193,Ginger Milk Tea,5.17,4.58
194,Honey Milk Green Tea,7.89,3.98
195,Honey Milk Tea,6.34,3.48
196,Honeydew Milk Tea,7.2,2.56
197,Iced Coffee,6.99,4.97
198,Jasmine Milk Tea,4.77,2.83
199,Lavender Milk Tea,6.93,2.38
200,Lychee Jelly Milk Tea,3.52,2.9
201,Mocha Cappuccino,6.5,2.75
202,Pudding Milk Tea,7.82,4.34
203,Sesame Milk Tea,5.27,2.62
204,Strawberry Milk Tea,6.7,2.34
205,Taro Milk Tea,7.75,4.49
206,Thai Iced Tea,4.69,4.92
207,Japanese Genmai Green Tea,6.16,2.9
208,Blueberry Slush,3.97,3.57
209,Cappuccino Slush,5.88,2.45
210,Chocolate Slush,3.18,4.23
211,Coffee Slush,5.77,3.23
212,Dark Plum Slush,6.08,2.1
213,Green Apple Slush,7.01,3.82
214,Green Bean Milk Slush,3.45,3.84
215,Green Bean Slush,5.04,3.04
216,Green Mango Slush,3.3,3.23
217,Honey Green Milk Tea Slush,4.22,2.6
218,Honey Milk Tea Slush,5.21,3.63
219,Honeydew Slush,4.17,4.86
220,Kiwi Slush,6.08,3.15
221,Lemon Slush,6.21,4.74
222,Lychee Slush,7.38,4.13
223,Mango Slush,3.55,4.81
224,Mint Chocolate Slush,6.64,4.24
225,Mocha Cappuccino Slush,6.02,4.45
226,Mo-cha Green Tea Slush,4.38,2.9
227,Orange Slush,3.6,4.14
228,Passion Fruit Slush,6.84,3.63
229,Peach Slush,3.11,3.01
230,Pina Colada Slush,6.28,4.32
231,Red Bean Milk Slush,5.89,3.81
232,Red Bean Slush,7.92,2.73
233,Royal Milk Tea Slush,7.87,2.16
234,Sour Plum Slush,5.97,3.4
235,Strawberry Slush,3.54,2.95
236,Taro Slush,6.21,3.67
237,Thai Iced Tea Slush,3.24,4.31
238,Two Flavor Slush,3.35,4.12
239,Yogurt Slush,7.91,3.01
240,Black Tea,7.5,4.47
241,Coconut Pineapple Tea,7.19,2.61
242,Coffee,4.12,4.56
243,Fruit Magic Tea,5.6,2.35
244,Ginger Longan Tea,7.05,3.0
245,Ginger Tea,6.85,2.09
246,Grass Jelly,6.56,3.65
247,Green Tea,6.97,2.07
248,Hawaiian Fruit Tea,4.5,4.02
249,Honey Green Milk Tea,6.3,2.78
250,Honey Lemon Tea,6.14,3.12
251,Jack Fruit Tea,7.43,3.6
