99-tea-house-fremont-2,99% Tea House,4.5,3623 Thornton Ave,Fremont
one-tea-fremont-2,One Tea,4.5,46809 Warm Springs Blvd,Fremont
royaltea-usa-fremont,Royaltea USA,4,38509 Fremont Blvd,Fremont
teco-tea-and-coffee-bar-fremont,TECO Tea & Coffee Bar,4.5,39030 Paseo Padre Pkwy,Fremont
t-lab-fremont-3,T-LAB,4,34133 Fremont Blvd,Fremont
q-tea-monster-newark,Q-Tea Monster,4,39181 Cedar Blvd,Newark
gong-cha-fremont,Gong Cha,4,46827 Warm Springs Blvd,Fremont
happy-lemon-fremont-2,Happy Lemon,4.5,46873 Warm Spring Blvd,Fremont
factory-tea-bar-fremont-2,Factory Tea Bar,3.5,46461 Mission Blvd,Fremont
super-cue-cafe-fremont,Super Cue Cafe,3.5,43743 Boscell Rd,Fremont
milk-and-honey-cafe-fremont,Milk and Honey Cafe,3.5,34265 Fremont Blvd,Fremont
tea-island-fremont-2,Tea Island,4,46196 Warm Springs Blvd,Fremont
taro-taro-dessert-and-tea-house-fremont,Taro Taro Dessert & Tea House,3.5,6018 Stevenson Blvd,Fremont
i-tea-fremont-2,i-Tea,3.5,43421 Christy St,Fremont
i-tea-newark,i-Tea,4,34925 Newark Blvd,Newark
sharetea-fremont-2,Sharetea,4,3948 Washington Blvd,Fremont
urbain-tea-fremont,uRbain tea,3.5,1590 Washington Blvd,Fremont
mandro-teahouse-newark-3,MandRo Teahouse,4,34956 Newark Blvd,Newark
gong-cha-newark,Gong Cha,4,39730 Cedar Blvd,Newark
tea-six-fremont-2,Tea Six,3.5,34460 Fremont Blvd,Fremont
tata-teahouse-fremont-2,Tata Teahouse,3,39230 Argonaut Way,Fremont
tea-station-newark,Tea Station,3.5,39115 Cedar Blvd,Newark
sno-crave-tea-house-fremont,Sno-Crave Tea House,3,43773 Boscell Rd,Fremont
boba-queen-fremont,Boba Queen,3.5,34420 Fremont Blvd,Fremont
t4-tea-fremont-2,T4 Tea,3.5,43430 Mission Blvd,Fremont
boba-fitt-drinks-union-city,Boba Fitt Drinks,3.5,31877 Alvarado Blvd,Union City
sweet-home-cafe-fremont-2,Sweet Home Cafe,3.5,6068 Stevenson Blvd,Fremont
tea-era-mountain-view-2,Tea Era,4,271 Castro St,Mountain View
teaspoon-los-altos,Teaspoon,4,4546 El Camino Real,Los Altos
t4-fremont-8,T4,3.5,46132 Warm Springs Blvd,Fremont
my-delights-fremont,My Delights,4,43486 Ellsworth St,Fremont
t4-fremont-3,T4,3,36400 Fremont Blvd,Fremont
sno-crave-teahouse-union-city,Sno-Crave Teahouse,4,1788 Decoto Rd,Union City
sharetea-union-city-3,Sharetea,3.5,34391 Alvarado Niles Rd,Union City
tastea-san-jose-2,Tastea,4,1160 N Capitol Ave,San Jose
i-tea-castro-valley,i-Tea,4,20666 Redwood Rd,Castro Valley
caface-newark-2,CaFace,3.5,6180 Jarvis Ave,Newark
tea-villa-milpitas,Tea Villa,4,1679 N Milpitas Blvd,Milpitas
mr-green-bubble-union-city,Mr Green Bubble,3.5,1644 Decoto Rd,Union City
pop-tea-bar-palo-alto-2,Pop Tea Bar,4,456 Cambridge Ave,Palo Alto
i-tea-milpitas,i-Tea,4,760 E Calaveras Blvd,Milpitas
joy-4-tea-union-city,Joy 4 Tea,3.5,32148 Alvarado Blvd,Union City
sweet-coco-fremont-3,Sweet CoCo,4,46164 Warm Springs Blvd,Fremont
icy-blue-fremont,Icy Blue,3.5,43360 Mission Blvd,Fremont
