store_id,ingredient_id,quantity
99-tea-house-fremont-2,26796,64
one-tea-fremont-2,77730,105
royaltea-usa-fremont,24862,92
teco-tea-and-coffee-bar-fremont,44571,102
t-lab-fremont-3,84306,19
q-tea-monster-newark,90261,11
gong-cha-fremont,39832,100
happy-lemon-fremont-2,36779,147
factory-tea-bar-fremont-2,97990,42
super-cue-cafe-fremont,15432,4
milk-and-honey-cafe-fremont,88731,110
tea-island-fremont-2,12078,142
taro-taro-dessert-and-tea-house-fremont,90805,138
i-tea-fremont-2,16630,82
i-tea-newark,84384,51
sharetea-fremont-2,63020,65
urbain-tea-fremont,46140,43
mandro-teahouse-newark-3,24456,46
gong-cha-newark,8940,3
tea-six-fremont-2,50805,80
tata-teahouse-fremont-2,68889,92
tea-station-newark,82671,46
sno-crave-tea-house-fremont,75607,58
boba-queen-fremont,16507,12
t4-tea-fremont-2,54183,21
boba-fitt-drinks-union-city,88041,9
sweet-home-cafe-fremont-2,99889,23
tea-era-mountain-view-2,15021,59
teaspoon-los-altos,74719,90
t4-fremont-8,82107,43
my-delights-fremont,30659,104
t4-fremont-3,5198,109
sno-crave-teahouse-union-city,88229,8
sharetea-union-city-3,51948,66
tastea-san-jose-2,94471,78
i-tea-castro-valley,37075,142
caface-newark-2,68925,81
tea-villa-milpitas,43441,86
mr-green-bubble-union-city,20044,11
pop-tea-bar-palo-alto-2,73414,45
i-tea-milpitas,18747,55
joy-4-tea-union-city,28189,20
sweet-coco-fremont-3,10660,22
icy-blue-fremont,83080,46
teatop-milpitas,61875,62
ten-ren-tea-co-of-milpitas-milpitas,8425,109
fantasia-coffee-and-tea-milpitas-2,88703,149
tapioca-express-union-city-2,31693,4
gong-cha-palo-alto,55283,149
sharetea-san-leandro-3,99245,26
boba-guys-san-francisco-6,23128,5
boba-guys-san-francisco-4,72685,120
wonderful-dessert-and-cafe-san-francisco-2,14104,28
little-sweet-san-francisco-10,47614,34
teaspoon-san-francisco,20499,116
boba-guys-san-francisco-10,9923,114
i-tea-san-francisco-3,72612,113
boba-guys-san-francisco-7,81022,28
plentea-san-francisco-san-francisco,28868,7
steap-tea-bar-san-francisco-3,51172,4
purple-kow-san-francisco-2,86084,142
omg-tea-san-francisco,94952,143
asha-tea-house-san-francisco,95429,89
super-cue-cafe-san-francisco,23081,113
boba-guys-san-francisco-15,26061,108
infinitea-san-francisco,5001,54
steep-san-francisco-2,51881,141
mr-t-cafe-san-francisco,5863,56
tpumps-san-francisco,33747,91
tj-cups-san-francisco-5,76875,78
wondertea-san-francisco-4,55998,81
the-boba-shop-san-francisco-4,93911,130
steep-creamery-and-tea-san-francisco,56409,4
bubblecup-san-francisco-2,35365,64
sweet-a-little-san-francisco-12,88247,91
tea-hut-san-francisco-2,5156,119
i-tea-san-francisco-2,92896,36
tancca-san-francisco-3,46264,75
sharetea-san-francisco-3,37714,83
mi-tea-san-francisco,88888,20
bb-tea-station-san-francisco-3,8098,45
tea-fm-san-francisco-3,10926,113
keep-it-san-francisco-6,95675,72
mr-and-mrs-tea-house-san-francisco,57642,109
e-tea-san-francisco,62229,2
gosu-san-francisco,49233,57
homeplate-boba-san-francisco,92765,116
cuppa-san-francisco,19823,99
super-cue-cafe-san-francisco-2,36434,119
puppy-bobar-san-francisco,93838,23
cool-tea-bar-san-francisco-4,92406,100
little-heaven-deli-san-francisco,37921,24
5-sweets-san-francisco,99178,36
good-earth-cafe-san-francisco-2,69295,123
sweethut-san-francisco,38202,81
frostea-daly-city-2,5839,92
teaone-san-francisco-5,23750,106
fifty-fifty-coffee-and-tea-san-francisco,63053,101
honey-creme-and-tea-san-francisco,91481,126
bambu-san-francisco-3,17985,90
i-tea-oakland,77774,126
mr-green-bubble-oakland,13879,11
t-and-bowl-oakland,39227,7
u-cha-berkeley,63325,92
the-sweet-booth-oakland,34463,82
asha-tea-house-berkeley,50407,49
i-tea-alameda,51050,92
t4-oakland,42386,119
wing-man-oakland-3,66570,20
sharetea-berkeley,79428,13
happy-lemon-berkeley-berkeley,72003,73
milk-tea-lab-pleasant-hill,8518,101
boba-ninja-berkeley,37468,89
sharetea-alameda-4,42185,54
purple-kow-berkeley-2,25170,59
teaway-alameda,67160,96
i-tea-walnut-creek-3,94540,18
sweetheart-cafe-oakland,88128,80
gelato-firenze-and-qtea-bar-oakland,52738,18
tea-delight-alameda-2,49254,41
quickly-oakland-4,59987,74
i-tea-san-leandro-2,30950,138
50-tea-oakland,12706,11
tea-press-berkeley-2,88716,1
taiwan-bento-oakland-4,29411,61
u-tea-cafe-oakland,50542,134
t4-alameda-2,66765,54
teazzert-alameda,74371,89
qteabar-oakland,80514,73
the-burrow-brisbane-4,20254,91
sweet-belly-oakland,8492,3
sancha-bar-oakland-3,58988,69
alice-street-bakery-café-oakland-2,69639,150
t4-san-leandro,35006,87
quickly-oakland-5,66330,97
bubble-tea-share-time-berkeley,56113,78
shooting-star-cafe-oakland,6361,66
pekoe-san-jose,99221,80
tea-lyfe-drinks-san-jose-3,74185,148
teahee-san-jose,84329,64
boba-pub-san-jose,66899,133
teaspoon-san-jose-2,71784,77
passion-t-snacks-and-desserts-san-jose,79483,4
pop-up-tea-coffee-and-snacks-san-jose,60044,113
happy-lemon-san-jose-5,57339,136
boba-bar-san-jose-3,19496,46
sinceretea-san-jose-2,74390,37
bobateani-san-jose,39897,68
soyful-desserts-san-jose-2,57414,137
one-tea-san-jose-4,65077,62
i-tea-san-jose,17460,122
the-tea-zone-and-fruit-bar-san-jose,65783,150
createave-cafe-san-jose-4,39037,22
tleaf-teapresso-san-jose-3,61359,19
katea-san-jose,23925,122
teatop-san-jose-2,93747,127
bubbly-san-jose-4,58150,134
vampire-penguin-featuring-jastea-san-jose,36351,128
simply-boba-san-jose,38105,17
happy-lemon-cupertino,18205,139
amor-cafe-and-tea-san-jose,78684,95
shincha-tea-san-jose-3,80345,47
sharetea-santa-clara-3,93094,38
chatime-san-jose-san-jose-3,25875,146
pure-tea-bar-san-jose,68664,53
t-spot-boba-drinks-and-snacks-san-jose,79514,9
meow-tea-san-jose,28577,81
fantasia-coffee-and-tea-san-jose-4,5275,148
monster-boba-cupertino-3,7192,100
teasociety-san-jose,24472,13
bfresh-snacks-and-drinks-san-jose,81676,16
beibay-tea-san-jose,72911,12
gong-cha-san-jose-19,89388,41
sweet-gelato-tea-lounge-san-jose,60032,97
sharetea-san-jose-3,21191,80
gong-cha-san-jose-8,81797,109
soyful-desserts-san-jose-8,27325,94
oooh-san-jose-4,78865,32
the-tea-zone-lounge-san-jose,59465,26
the-moo-bar-santa-clara,44193,43
tapioca-express-san-jose-8,29164,112
purple-kow-san-jose-4,63672,12
heritage-eats-napa,62598,123
yobelle-napa-2,32427,4
morimoto-napa-napa,67420,140
napa-noodles-napa,35738,119
crave-cafe-and-catering-american-canyon,95833,21
quickly-american-canyon-3,56803,86
top-that-frozen-yogurt-sonoma,68562,5
over-the-top-shop-frozen-yogurt-american-canyon,47785,56
sushi-grill-vallejo,61845,45
palm-thai-bistro-fairfield,58294,60
green-bamboo-restaurant-fairfield,77544,121
thai-kitchen-american-canyon,21518,109
sactomofo-sacramento-6,64095,140
westea-pleasanton,12830,81
baotea-cafe-pleasanton-2,78374,40
i-tea-dublin-dublin,37963,59
aroma-tapioca-tea-and-coffee-pleasanton,87282,92
i-tea-pleasanton,43840,33
t4-dublin,80734,104
tea-factory-dublin-2,32827,140
icicles-pleasanton,6216,50
sharetea-dublin-3,62997,150
cafe-tapioca-dublin,67036,127
quickly-pleasanton,80241,89
letea-pleasanton-2,93573,9
tea-breeze-pleasanton,24238,81
360-crepes-pleasanton-3,75684,57
t4-san-ramon-2,31632,69
i-tea-san-ramon-3,61028,82
snowflake-dublin,94231,16
quickly-dublin,70943,65
cafe-taiwan-pleasanton-9,37814,134
cafe-junction-pleasanton-3,5340,58
o-honey-dublin,33901,81
the-mix-creamery-dublin-2,46801,91
tasty-pot-dublin,67470,44
ohana-hawaiian-bbq-of-pleasanton-pleasanton,59835,16
99-ranch-market-pleasanton,35657,21
menchies-frozen-yogurt-dublin,71748,38
blossom-bee-dublin,62200,135
berry-delight-pleasanton,39251,122
new-thai-bistro-pleasanton-2,19519,128
tutti-frutti-frozen-yogurt-dublin,67102,38
kee-wah-bakery-dublin,12491,99
blush-organic-frozen-yogurt-dublin,79675,120
koi-palace-dublin,72538,24
berry-and-berry-yogurt-livermore,6998,78
pho-saigon-city-pleasanton,12334,9
yogurtland-dublin,33624,76
lees-sandwiches-dublin-2,99194,44
osaka-ramen-dublin,71216,110
pho-99-dublin-5,92967,120
tandoori-pizza-dublin,22305,100
halu-shabu-shabu-dublin,8018,76
amakara-dublin,36805,149
pho-saigon-garden-dublin,87879,29
pho-saigon-noodle-house-san-ramon,78583,99
85-c-bakery-cafe-newark,25902,130
blackball-desserts-union-city-union-city,88883,125
tasty-pot-newark,79116,104
icicles-newark,46713,89
che-lo-union-city-2,55781,106
fusion-mix-frozen-yogurt-fremont-2,21746,40
crepe-bar-newark,52370,101
q-cup-fremont,44673,129
bambu-newark-2,33732,9
bambu-union-city-2,48452,5
storm-crepes-newark,19445,7
sweet-orchid-fremont,31484,113
jenjons-cafe-union-city,82946,116
k-pop-cafe-fremont,76432,14
milkcow-fremont-2,35098,98
boba-guys-san-carlos-2,83778,20
teaquation-redwood-city,39037,66
t4-hayward-3,40210,13
sweet-spot-castro-valley,15725,52
teaster-hayward-2,22694,97
sharetea-palo-alto-2,18390,59
chatime-redwood-city-2,41844,141
eko-coffee-bar-and-tea-house-hayward,16363,102
