store_id,ingredient_id,boba_id
i-tea-san-ramon-3,38763,vqteayesto
bambu-sunnyvale-2,72288,qdbochgvzz
bare-bowls-palo-alto,34317,pdzndrxnfp
simpletea-milpitas,80048,tmccfdkerg
green-bamboo-restaurant-fairfield,99554,moonfbznus
coco-swirl-pleasant-hill,25844,xwpdaoobbx
music-tunnel-ktv-cafe-san-jose-2,30071,binapanhvc
joy-4-tea-union-city,68055,kgglqtfqae
tancca-san-francisco-3,58498,upytamehfc
sweet-belly-oakland,45781,wvjpzbgrxt
tpumps-san-francisco,25079,nwvzyhlcuq
taiwan-bento-oakland-4,56032,fccgxxgpsm
east-14th-bakery-and-cafe-san-leandro-3,98375,noihoivebz
tleaf-teapresso-san-jose-3,32796,ddhqlgromd
poke-island-creasian-kitchen-san-mateo,75232,idtkvusayn
yummi-tea-cafe-san-jose-3,28850,ucwdmumdsk
super-cue-cafe-san-mateo-2,27164,fvdjvohglr
tacos-jalisco-vallejo,26616,rmzryekqpe
quickly-san-lorenzo,91602,gfjrwthbup
amor-cafe-and-tea-san-jose,89288,ctcuztjrxi
chatime-redwood-city-2,53384,zrhkykogtk
quickly-burlingame-2,39374,vuuieqvulo
happy-donuts-palo-alto,78480,iqkrrjkjyh
boba-fitt-drinks-union-city,93847,usgykymfxn
what8ver-express-cupertino-2,46549,pqjbxbakaa
taro-taro-dessert-and-tea-house-fremont,46596,brwebrqzqi
soyful-desserts-san-jose-8,93249,hqjvcffugc
yodo-yogurt-campbell,35562,yqvszuoqmc
t4-san-ramon-2,84832,vykyelsbdq
teasociety-milpitas,34185,vmerlbtwgr
quickly-vacaville,47090,ezcrnmdsis
tea-hut-san-francisco-2,86892,nixtpdhtkk
meow-tea-san-jose,5341,djlqvewizd
yobelle-napa-2,85399,pyzgtkkmgv
sno-crave-tea-house-milpitas,13709,ghpyquzocg
oooh-san-jose-4,62015,ovoveyfsry
tala-coffee-and-tea-el-cerrito-2,59739,lzbaayfmxi
halo-halo-bar-and-boba-station-suisun-city,53884,wejbjvhwtg
one-tea-fremont-2,69724,ebcmugafht
pho-saigon-noodle-house-san-ramon,80907,fgxhrquuuw
royaltea-usa-fremont,31265,oblcoparhz
omg-tea-san-francisco,7722,mafrqrigan
lulus-kitchen-concord,25447,iliowhpbqg
t4-concord-concord,92424,gcwjcjxbuq
tea-island-fremont-2,68687,qotguvpbju
quickly-dublin,20883,gcrbholyjm
cocohodo-sunnyvale-2,44088,zxmmtiirfc
i-tea-alameda,98252,hgduwwfird
hongry-kong-belmont-2,46566,faqkrgcjjm
what8ver-express-cupertino-2,28595,rynzwparue
butterfly-santa-clara,59767,grefereejk
i-tea-alameda,53836,aitojxsqqd
r-and-d-cafe-san-lorenzo,45548,ooqtlqutks
