one-tea-fremont-2,One Tea,one-tea-fremont-2@oxy.edu,46809 Warm Springs Blvd
royaltea-usa-fremont,Royaltea USA,royaltea-usa-fremont@oxy.edu,38509 Fremont Blvd
teco-tea-and-coffee-bar-fremont,TECO Tea & Coffee Bar,teco-tea-and-coffee-bar-fremont@bobalover.com,39030 Paseo Padre Pkwy
t-lab-fremont-3,T-LAB,t-lab-fremont-3@oxy.edu,34133 Fremont Blvd
q-tea-monster-newark,Q-Tea Monster,q-tea-monster-newark@bobalover.com,39181 Cedar Blvd
gong-cha-fremont,Gong Cha,gong-cha-fremont@oxy.edu,46827 Warm Springs Blvd
happy-lemon-fremont-2,Happy Lemon,happy-lemon-fremont-2@yahoo.com,46873 Warm Spring Blvd
factory-tea-bar-fremont-2,Factory Tea Bar,factory-tea-bar-fremont-2@bobalover.com,46461 Mission Blvd
super-cue-cafe-fremont,Super Cue Cafe,super-cue-cafe-fremont@aol.com,43743 Boscell Rd
milk-and-honey-cafe-fremont,Milk and Honey Cafe,milk-and-honey-cafe-fremont@bobalover.com,34265 Fremont Blvd
tea-island-fremont-2,Tea Island,tea-island-fremont-2@yahoo.com,46196 Warm Springs Blvd
taro-taro-dessert-and-tea-house-fremont,Taro Taro Dessert & Tea House,taro-taro-dessert-and-tea-house-fremont@oxy.edu,6018 Stevenson Blvd
i-tea-fremont-2,i-Tea,i-tea-fremont-2@yahoo.com,43421 Christy St
i-tea-newark,i-Tea,i-tea-newark@yahoo.com,34925 Newark Blvd
sharetea-fremont-2,Sharetea,sharetea-fremont-2@oxy.edu,3948 Washington Blvd
urbain-tea-fremont,uRbain tea,urbain-tea-fremont@gmail.com,1590 Washington Blvd
mandro-teahouse-newark-3,MandRo Teahouse,mandro-teahouse-newark-3@oxy.edu,34956 Newark Blvd
gong-cha-newark,Gong Cha,gong-cha-newark@aol.com,39730 Cedar Blvd
tea-six-fremont-2,Tea Six,tea-six-fremont-2@yahoo.com,34460 Fremont Blvd
tata-teahouse-fremont-2,Tata Teahouse,tata-teahouse-fremont-2@bobalover.com,39230 Argonaut Way
tea-station-newark,Tea Station,tea-station-newark@aol.com,39115 Cedar Blvd
sno-crave-tea-house-fremont,Sno-Crave Tea House,sno-crave-tea-house-fremont@gmail.com,43773 Boscell Rd
boba-queen-fremont,Boba Queen,boba-queen-fremont@yahoo.com,34420 Fremont Blvd
t4-tea-fremont-2,T4 Tea,t4-tea-fremont-2@oxy.edu,43430 Mission Blvd
boba-fitt-drinks-union-city,Boba Fitt Drinks,boba-fitt-drinks-union-city@gmail.com,31877 Alvarado Blvd
sweet-home-cafe-fremont-2,Sweet Home Cafe,sweet-home-cafe-fremont-2@bobalover.com,6068 Stevenson Blvd
tea-era-mountain-view-2,Tea Era,tea-era-mountain-view-2@yahoo.com,271 Castro St
teaspoon-los-altos,Teaspoon,teaspoon-los-altos@aol.com,4546 El Camino Real
t4-fremont-8,T4,t4-fremont-8@aol.com,46132 Warm Springs Blvd
my-delights-fremont,My Delights,my-delights-fremont@yahoo.com,43486 Ellsworth St
t4-fremont-3,T4,t4-fremont-3@aol.com,36400 Fremont Blvd
sno-crave-teahouse-union-city,Sno-Crave Teahouse,sno-crave-teahouse-union-city@oxy.edu,1788 Decoto Rd
sharetea-union-city-3,Sharetea,sharetea-union-city-3@aol.com,34391 Alvarado Niles Rd
tastea-san-jose-2,Tastea,tastea-san-jose-2@oxy.edu,1160 N Capitol Ave
i-tea-castro-valley,i-Tea,i-tea-castro-valley@yahoo.com,20666 Redwood Rd
caface-newark-2,CaFace,caface-newark-2@oxy.edu,6180 Jarvis Ave
tea-villa-milpitas,Tea Villa,tea-villa-milpitas@oxy.edu,1679 N Milpitas Blvd
mr-green-bubble-union-city,Mr Green Bubble,mr-green-bubble-union-city@gmail.com,1644 Decoto Rd
pop-tea-bar-palo-alto-2,Pop Tea Bar,pop-tea-bar-palo-alto-2@gmail.com,456 Cambridge Ave
i-tea-milpitas,i-Tea,i-tea-milpitas@bobalover.com,760 E Calaveras Blvd
joy-4-tea-union-city,Joy 4 Tea,joy-4-tea-union-city@yahoo.com,32148 Alvarado Blvd
sweet-coco-fremont-3,Sweet CoCo,sweet-coco-fremont-3@bobalover.com,46164 Warm Springs Blvd
icy-blue-fremont,Icy Blue,icy-blue-fremont@bobalover.com,43360 Mission Blvd
teatop-milpitas,TeaTop,teatop-milpitas@oxy.edu,82 Ranch Dr
ten-ren-tea-co-of-milpitas-milpitas,Ten Ren Tea Co of Milpitas,ten-ren-tea-co-of-milpitas-milpitas@oxy.edu,1732 N Milpitas Blvd
fantasia-coffee-and-tea-milpitas-2,Fantasia Coffee & Tea,fantasia-coffee-and-tea-milpitas-2@aol.com,528 Barber Ln
tapioca-express-union-city-2,Tapioca Express,tapioca-express-union-city-2@bobalover.com,1707 Decoto Rd
gong-cha-palo-alto,Gong Cha,gong-cha-palo-alto@oxy.edu,439 Waverley St
sharetea-san-leandro-3,Sharetea,sharetea-san-leandro-3@oxy.edu,699 Lewelling Blvd
boba-guys-san-francisco-6,Boba Guys,boba-guys-san-francisco-6@oxy.edu,429 Stockton St
boba-guys-san-francisco-4,Boba Guys,boba-guys-san-francisco-4@oxy.edu,3491 19th St
