Address,Postcode
"10 School Brow, Appleby-In-Westmorland",CA16 6TB
"5 Glenwilley, Great Corby",CA4 8NF
"14 Marlborough Avenue, High Harrington",CA14 4NW
"4 Cairn Terrace, Heads Nook",CA8 9AD
"Beinn Eighe, Grange",CA22 2PG
"Fircones, Talkin",CA8 1LT
"Ivy Cottage, Gosforth",CA20 1HP
"77 Beech Grove, Stanwix",CA3 9BL
"Rockcliffe, Shap",CA10 3LE
"4 Railway Cottages, Low Row",CA8 2LG
"Holmsdale, Wigton Road, Silloth",CA7 4EA
"4 Hilden Road, Cleator",CA23 3DQ
"1 Castle Meadows, Whitehaven",CA28 7RG
"47 Market Hill, Wigton",CA7 9EY
"7 Barton Dale, Lazonby",CA10 1BU
"54 Brampton Road, Carlisle",CA3 9AU
"8 Kirkstone Road, Whitehaven",CA28 8ET
"1 Pine Vale Cottages, Thornthwaite",CA12 5SF
"28 Robert Owen Avenue, Cleator Moor",CA25 5DL
"Cherry Tree Cottage, Ousby",CA10 1PT
"9 Bradbury Avenue, Maryport",CA15 7NQ
"22 Albert Street, Workington",CA14 2QL
"Sunnydene, Fletchertown",CA7 1BG
"10 Browside Road, Dearham",CA15 7ES
"2 Brigham Hill Mansion, Brigham",CA13 0TL
"37 London Road, Carlisle",CA1 2JZ
"11 Yew Tree Court, Carlisle",CA2 5QA
"23 Petteril Street, Carlisle",CA1 2AJ
"269 Newtown Road, Carlisle",CA2 7LS
"226 Scalegate Road, Carlisle",CA2 4PJ
"Stonegarth, North End, Burgh By Sands",CA5 6BD
"Hangar 29 Carlisle Airport",CA6 4NW
"Uppertown Court, Kirklinton",CA6 6BD
"2 Lake Road, Keswick",CA12 5BT
"8 Hadrian Way, Houghton",CA3 0LU
"9 Cairn Wood, Heads Nook",CA8 9AH
"4 Finn Avenue, Carlisle",CA2 7BN
"3 Northumberland Street, Workington",CA14 3HB
"12 St Benedicts Way, Wetheral",CA4 8FP
"The Saltings, Port Carlisle",CA7 5DQ
"8 Chestnut Park, Keswick",CA12 4LY
"71 High Brigham, Brigham",CA13 0TG
"Middleton House, Waverbridge",CA7 0DT
"Smith House, 14A - 14E Church Street, Whitehaven",CA28 7AY
"14 Union Street, Wigton",CA7 9NT
"Oak Cottage, Townhead Farm, Newbiggin",CA8 9DH
"7 The Acre, Newton Arlosh",CA7 5EX
"4 Ashley Way, Egremont",CA22 2JT
"4 Highbank Court, Eamont Bridge",CA10 2DY
"9 The Acre, Newton Arlosh",CA7 5EX
"23 Moorside Drive, Carlisle",CA1 3TE
"27 Ehen Road, Thornhill",CA22 2SJ
"5 Barnett Drive, Seaton",CA14 1QN
"Loshville, 15 Etterby Scaur, Carlisle",CA3 9PA
"Flat 7, Royal Oak House, Station Street, Keswick",CA12 5HE
"Redgables House, Red Gables, Greenrow",CA7 4HU
"Baggrow Farm Cottage, Baggrow",CA7 3QD
"68 Loweswater Avenue, Whitehaven",CA28 9NR
"4 Crossings Terrace, Maryport",CA15 8EA
"18 Bishops Way, Dalston",CA5 7LF
"7 Finkle Street, Carlisle",CA3 8UU
"25 Esther Street, Carlisle",CA2 4HA
"Glasson House, Glasson Industrial Estate, Maryport",CA15 8NT
"9 Woodbank, Egremont",CA22 2RL
"36 The Green, Whitehaven",CA28 6BP
"6 Railway Terrace, Gilsland",CA8 7DN
"374 London Road, Carlisle",CA1 3ER
"69 Scotland Road, Penrith",CA11 9JD
"51 Brierydale Lane, Stainburn",CA14 4UH
"36 Noble Croft, Aspatria",CA7 3BL
"68 Kingmoor Road, Carlisle",CA3 9QG
"2 Beach Street, Workington",CA14 3TP
"32 Gaitle Bridge, Gaitle",CA6 5LU
"2 Shepherds Garth, Great Asby",CA16 6FQ
"80 Ridley Road, Carlisle",CA2 4LE
"Milligan Motors, Blackwood Road, Lillyhall Industrial Estate",CA14 4JW
"6 Croasdale Avenue, Whitehaven",CA28 9SL
"Halcyon House, Capon Hill, Brampton",CA8 1QN
"9 Cromwell Terrace, Cockermouth",CA13 0AA
"1 Close Cottages, Well Lane, Stanwix",CA3 9DU
"6 Sunny Bank, Threlkeld",CA12 4SB
"10 Cedar Crescent, Maryport",CA15 7BT
"Forge Farm, Eskdale",CA19 1TT
"Orchard Cottage, Gosforth",CA20 1AS
"55 Richmond Green, Carlisle",CA2 6SZ
"Mossdale, Glenridding",CA11 0NQ
"1 Bedford Villas, Hensingham",CA28 8QP
"Flat 2, 1 Marine Terrace, Silloth",CA7 4BZ
"53 Brigham Road, Cockermouth",CA13 0BS
"48 Herdus Road, Whitehaven",CA28 8BY
"1 The Old Library, Church Street, Keswick",CA12 4EX
"10 Helvellyn Rise, Carlisle",CA2 6QL
"5A Murrayfield Terrace, Ravenglass",CA18 1SH
"Quarry Bank, Capon Hill, Brampton",CA8 1QN
"Greenholme, Bewcastle",CA6 6PW
"38 Madam Banks Road, Dalston",CA5 7QZ
"82 Brook Street, Carlisle",CA1 2HP
"2 Birks House, Parkside Road, Cleator Moor",CA25 5HE
"4 Latrigg Road, Carlisle",CA2 7FD
"Old Shap Wells Cottage, Shap",CA10 3QX
"23 Lawson Street, Aspatria",CA7 3DR
"146 Pategill Road, Penrith",CA11 8GY
"Meadow Lane, Newby",CA10 3HB
